," =COUNTIF(A:A,A1)>1"
5ceafd7c-6268-ab28-7761abc2618a," Multiple issues with clusters changed over night - logging, shared config"
83942c86-8e3e-7f0d-3e6586f2b8c9,genie-Activating ip filtering blocks the launch of jobs and APIs
df2b10ce-4d49-6c45-1f0eba58247d,Issue loading data to Cosmo DB
27024fee-9269-7e48-77340fa0871b,billing question
69cb5db9-63c2-6c24-ca9908b717ff,We can't upgrade to current runtime version 10.x
50a98741-1b8a-5c3b-3b7f17cdcf74,regular spark driver failures in job after upgrading 9.1LTS to 10.4LTS
9a51b227-d13b-52ef-489342d78b16,issues with reading file in the resources directory
f032ba78-eb80-cab4-ac799d4ce5d2,Delete orphan workspace
202f570b-2f9e-014f-74a3f14e1e33,MLFlow
64d18a82-d5d3-74bf-542de27011fd,AWS Credentials not Loading on 1st run once a Cluster is Started
6cc16fce-2ab3-a4d7-4caf7cd7fbf8,ARR:No Stream Progress With No-op Delta Merge:SR2205110040005641 
cef81b7d-be21-01b8-5b0f4797c52d,genie-An error occurred while calling z:org.apache.spark.api.python.PythonRDD.collectAndServe
50df2940-54e4-44cd-a18840f86110,Genie access request
c76299ce-1d4c-4fc9-84466584d4db,Unable to run notebooks from repo tab in databricks
5573bfeb-2ba3-7c3d-b1ccdfc29353,autoloader streaming query issue
f4119f36-558f-b8c2-4294d72ed152,Databricks Library Installation Fails
82eb192f-4ffe-349e-1b7e79be9b2a,Genie:ARR:SR2205110040005641 
5f3d12e3-8225-6911-7c8b93945d5b,Use from_avro or to_avro with confluence
10794b76-158c-e2c2-feef92000b53,Genie for 2205120050002131 
a82a195f-9aec-7b7c-df46ea80fb69,Jobs in Production and QA Databrciks are failing due to timeout error
3c8634ad-0fe2-a935-558d74075d1d,column sorting in table on dashboard
2587c12f-0780-823e-a2402dc1082d,Cannot start a cluster on acxiom-di-datahub-appdev-admin.cloud.databricks.com
9816dbbe-b56f-201d-92e5755ac044,Job clusters REST API
62a1249b-8dec-fc3a-c86570269c9e,Files in Repos issue
2cc09418-0334-0299-092cf76b4ad8,genie
cdd2b7ab-6d3d-a11c-68056c2955c4,Error when running Job
6a09399b-bd8f-a32d-4349573c819f,deleted VMs continue to write data to LogAnalytics
1fb49e78-cab2-4322-ecc34f17b89a,Genie 2205120050001524 
c1f38e5c-1b74-7eb8-ac2aaa3f2a50,2.21E+15
af710f45-06fd-5c94-67be5180e61f,genie for #2205120050001043
adba81bc-3ee3-da79-b4ac894f09d6,Querying data at an external location sometimes fails
0f94a728-5b73-4de9-ac658c1230cc,gar for https://adb-3018353714729944.4.azuredatabricks.net/
62e6b7c4-0454-7468-78b9ad90d3bd,ARR | 2205100050002215 | Jobs are failing even after adding dependent libs | GSK
4131633f-8e1f-adba-1b80eb530a8c,Question about configuration in Databricks Cluster
b696dd78-9ed7-337a-1362377e1acc,Follow up case on 00144834 | ARR SR# 2205050030001519
5b01b8e5-82d4-c944-f12c2520ccee,"Starting 22 March, there is a substantial increase in cost of the DBFS storage account"
2377de7c-ffcd-3f36-2828b6a9bc71,Expired personal acces token (PAT) in combination with IP-adress whilelist for Databricks workspace
fdd7f301-c5b9-0d9b-ebcb6d2a9f84,2.21E+15
ff8d84fb-af63-7ae8-6b32a2249a6f,SSLHandshakeException: No subject alternative DNS name matching smbistlrs1.privatelink.dfs.core.windows.net found
e9a13e7c-e245-7ad6-623ac27f8f5f,The VMs are not getting deallocated and costing to us
e784223e-b735-01bf-51ca19c50fb2,dbfs cp command taking longer time
402a17d9-4aa4-7ade-93a20a9fed7b,ACL permissions
ed49f36b-3f39-c1a0-12a61f589bb7,Suspen Notification of Workspace
2b0bff49-91a0-0a3a-e7297cc6559f,Job failed due to cluster unavailble
bd22d188-4bcb-3eac-72cfbb6e3f85,ACL permissions
8e75f0ae-6333-2e76-a6ed38443ac7,Job stucks in middle
26cf0f22-6edc-6855-f2a37e4c5343,Integration with AWS Glue and Redshft
47d25782-2892-c6ec-2b0a933785d2,genie for #2204200040005876
a8a3d35d-7a84-5baf-387fa3531d6b,Creating additional Workspace in different AWS account. 
19274883-3fac-8465-851303a9755d,_SUCCESS file is missing when writing .orc file
e3a6cf36-7ee2-a212-0622a191dacc,ARR | genie | 2205110050002089
5d7e6a70-5e95-6f06-2b4ff49c1de7,File read from Container is taking very long time -2
54e5cc57-8284-c3e9-3b316ebc353b,File read from Container is taking very long time
414e077d-d44b-25b2-66c00e35ce4a,Genie for 2205120050000785 
2d35b1a9-9ab8-4773-e72793cdb867,genie
7b12d151-9e0d-f3fc-c9f84efac927,2.21E+15
644bd490-770d-cda8-acf35a3734d2,Genie for 2205120050000785 
313f682a-02bd-a415-e8bc6a608b8e,Getting error 'Failure starting repl. Try detaching and re-attaching the notebook.'  while running any notebook
91c22c43-6dc1-c2bc-b06426359d4b,genie
033a9e8c-c12b-a1e5-ffe79b5acb1d,genie for #2205120050000454
8ee05021-64c8-c888-099fec5e0143,genie
ec2c1a4f-ed1f-a55d-ab199d51c7fc, [ARR] [Sev B] SR-2205110030001940 Notebook is reverted back previous version automatically
aa5a1a02-bd05-82e5-680269eafeb6,SparkException - Job Aborted due to stage failure  On running query the command get failed due to SparkException - Job Aborted due to stage failure. The issue is not continuously occurring sometime it occur on same query sometime it doesn't.
0b2d4fe0-8a40-1949-d94897f47ec8,2112100050001306  follow up for SF 00128160: job performance issue
1478ad5d-ddc7-4ee7-3ad66fd88a8f,Could not find ADLS Gen2 Token
5c4021ab-3f5e-8c07-6990dae7cae4,Follow up of 00139396
c92f6a8a-bf09-ee79-0a323c265989,Run result unavailable: job failed with error message 403: Invalid Authorization
a1d40e22-95c8-c5ab-2e317a34ff5a,Genie Access | Kafka API
47934a92-5049-43ce-bdeac8f0896b,Jar file init script installation
ec55c8d1-5323-790c-12b675bf1078,Driver logs on UI are not showing correct creation time
1ec6a075-f5d1-dfb8-a9392a13b1f1,2.21E+15
9f7bb45b-a584-976b-2bd6691b8ba8,2205120010001139_Need Genie Access
480c611e-4e24-e0fa-957a931a2408,gsr for 8745407738329245
13e10465-4934-3813-ae1145af8b04,Remote RPC client disassociated
1563ed3b-cd0c-06ea-4fad01408994,ARR | 2205110030001559 | please help find instanceid/vmid
7863ffbf-6b9c-c3e2-a6e901b853e3,Spark CSV reader is mis-interpreting date format
460afd23-f222-e2fb-282bf791b1e9,Need to change the DBR version of SQL endpoint
8351829d-97c3-c7a0-d259303a2add,genie
13995c53-23fa-3ce5-05dae933a122,Genie
049a2c8a-aded-ad15-9a6d9dd28edb,memory error and Deprecated runtime
0f45e6eb-050c-a037-ec7b312c0ac0,Genie Cluster startup
24cb032a-7ada-37a6-a4fc0acd508c,2.21E+15
d442c629-3b6b-58fa-1591efb7316d,For Multiple Clusters We are Recieving the following error - 'Unexpected Failure While Waiting for the Cluster to be Ready' 
7a12ab26-d7b2-bab9-454fd29f9fbb,genie 2205120030000229 
bc164d51-49a6-e381-7639c5ce6ae1,2205090030001672 | ARR |  losing access to mount point
45248273-5371-5019-49af34e7021f,[Question] Install 'jupyterlab-chart-editor' in databricks notebook
2823a880-75a1-7968-1d5781b31d8e,Unable to access ADLS containder from Azure Databricks cluster
474650c1-46c0-47af-a9a5e7f9c210,Databricks HC Cluster is running extremely slowly(Similar to 00145865)
780fa74f-4515-cb3f-2a0aa50f1e3f,Genie Access - SR 2204250050001910
ff6c14cf-493d-3331-16ade19d7596,Job failed after 5 hours with timeout
a6ef8bf7-35d4-49f9-12f57187f402,First Genie Access Request
fc67f6ab-3bf8-b2b7-dfaae730a855,File read from Container is taking very long time
8e9e7de5-3d12-9218-b944dac82383,Genie
38dd284a-3303-bfc8-e49f49c149e4,Genie Access - SR 2205110030001940
757ee863-e93d-5640-2ee921a0b37e,Genie Access - SR 2205110030001940
d5f6b0e2-15f8-78c6-54948cdbcfbb,Genie Access
a40f67b1-9d7b-c294-24ad28cbcde9,Dedup Issue
de18568a-5eea-29a9-95e751724bc3,High system cpu usage from May 10th-Genie
59684854-7a01-cb01-9e08f728d1e2,[ARR] [Sev B] SR-2204130040012512 related #00141930 regarding information of bonecp bug and HikariCP connection pool
d25b58c6-6401-85eb-b2aa0e090f4e,ARR | 2205110030001559 | genie
d6b1fff5-d9bb-532b-c52db2705085,Open Source delta table not support TBLPROPERTIES like delta.autoOptimize.autoCompact
86da57d7-a65d-ff50-59e26fdb4113,Genie
c342baab-082f-405f-a9aaef30eb43,Setting up DBT to not export to DBFS
e3c6e2b0-9524-cc63-8e4e34018649,Genie access request
70ba00a3-4871-2222-ac54404306dd,Workspace user login issues after AD username changes. 
73915876-2b81-29d7-7926b2c8432e,The spark context has stopped and the driver is restarting
09794cc6-f49a-8930-72067777793a,Genie Access Request
f25cf9b6-6bb3-1254-495a8e9f38c1,"""unexpected error occurred"" error when accessing endpoint´s conf page "
c1b4c596-9c11-e0f3-ed4213e262bf,Genie 2205110040011175
c1b22651-5e49-9372-5f88771a781c,Accessing S3 Data in E2 as tables 
86381490-c522-4465-959ff53a3a09,2754134964726624 - 81b4ec93-f52f-4194-9ad9-57e636bcd0b6 - 2205110040011261
0825e7a5-b887-5f4d-3c477dbb8251,Databricks notebook performance is degraded
a6b31716-14ff-4564-4068a99587db,Using S3 bucket in another account for init script
3a469235-9a3a-9846-e2311af4cba9,ARR:PYODBC driver cannot open lib ‘ODBC Driver 17 for SQL server’:file not found(0) while connecting to Azure SQL. Encountered error msg intermittently:SR2205060040003815 
17559cdb-ae8e-8b21-8d9af507c574,Autoloader streaming is not consistent
27f4dd1c-cfe4-4f46-5694ce01df30,Connection pool shut down
a21fb25e-2689-eef3-2ffb77a4ccd6,Divergency of jobs status
14010271-750a-7941-928f0e6e8097,Databricks Job Cancelled
0f8624f8-0471-41b9-2edf1e7701a8,ARR - 2202250030001786 - NielsenIQ Coke Mastertrack - Cluster failure
bb3475fc-4b25-1c1a-3b224455c8df, Databricks job failing without any logs
6ab40fc1-457b-8c68-f0943ff1f36c,Genie 2202250030001786
e01b6942-7d7e-8a1e-8f19e6d464e7,RStudio Notebooks on rbase:10.4-LTS requires additional installs
b5c93d45-04f8-9af0-8e5b8586bdba,genie-Job failed after 5 hours with timeout
3192f73b-93ee-5ac2-a870b2d9aae9,Auto upgrade Cluster
a50f9dc3-1bdc-c18e-478b02f565b8,ARR |Import com.sap.db.jdbc.Driver fails | 2205110040001836
e1a70acd-458c-7875-cab3dfc0be3d,Optimize command skipping large number of files
6c7212ac-cc68-80a3-748f5befb220,Delta Live tables not provisioning reqources
ff2a7e34-866b-9fd8-5e8ae21db368,Unable to Drop Database because S3 bucket is no longer there
8597c8f9-ad11-1ad7-3bdecfb0c7de,Autoloader can not ingest *.snappy.parquet files
bddcaea5-8bff-d2bf-8e073a29a4ae,Interactive cluster processes crash during execution (zombie process)
7bdbd3c9-8968-c5ae-e914ffcf5e36,ARR | The 'R' package 'prophet' fails to load | 2205090040005472
5bc9d86a-c779-ceb3-6ceb61089a82,genie acess 
a4a672d1-bf8f-5a68-4bedc29db67a,Please Engage Microsoft Azure Support - Databricks loading  JDBC SQL driver libraries  (Intermittent in prod & non-prod)
7ffd6887-8a55-a82e-fbf29d767f76,Genie
aa81b81f-56b0-9f28-ea2578fe831d,losing connection with SQL
f70aeaf2-b74b-4edf-7448d83d9aaf,2205110050001843 - Genie
a34f73d4-cf90-4d77-744fd4d0b839,ARR - Log4j 1.2.17 Version CVE-2019-17571 - in 9.1 LTS Runtime
8ffc5645-4f4b-43de-3dd403e7d101,Genie
48f18b77-e083-503c-6aa01bf7c5ae,genie for #2205110050001559
ceb2c5f9-2155-0e17-63aef6bc2b64,ARR Customer Uniparks: Issue - Databricks to storage/Synapse connection issue
7d10e5db-85db-834d-f0749e432c24,"I got stuck to an error in data bricks , the error is ' Command result size exceeds limit: Exceeded 20971520 bytes (current = 20972463)'"
49870f0b-b402-42c5-29ab0e046246,"I got stuck to an error in data bricks , the error is ' Command result size exceeds limit: Exceeded 20971520 bytes (current = 20972463)'"
a6b8fbf2-6d36-2090-41b2cc821585,Genie Access | We are not able to query _dh_ja_pos_2.pos_day_fct in the AMA KPI databricks
29fdfb66-40d5-6f01-87305b61db0c,Metadata Queries take hours in sql endpoints randomely
e01b0dfa-548c-b083-c8af5d1d2aab,GuardDuty Finding - DBX Prod
359a4d9e-fc6a-835f-a322066ed7fd,ARR - write txt file with headers in the datalake from databricks
db14a630-e486-7108-613e69f8ec62,Manage Accounts
4d6977e9-4c4d-4f0e-d7775476f546,Be able to sink Spark accumulators to prometheus
920cc4bb-99ea-6e0b-85960ad79288,Management of Notebook
41fd58cc-dabc-dc92-1e650ab6ad9d,ARR Customer Nestle: Issue -  Time out error - org.apache.spark.SparkException: Environment directory not found at /local_disk0/
c1278cb8-a091-44b6-0d546e84600e,issue with updating network of a workspace 
197552ce-1fa3-068e-78cde86a33e4,Need help to implement Instana JVM Startup Agent
491fce3a-b4e9-5191-d055c8b6233b,"""Unable to create session"" error"
8f54927d-447c-daaf-1f87a25b9a27,MALFORMED_REQUEST: Invalid vpc endpoint in the HTTP request body
fd4122c4-0bbc-914c-e7aa9ed246da,genie for #2205110050001817
56cd234b-2811-8699-f15c257340eb,2204130030000914 | ARR |  UnAuthorization error when listing databricks secret scopes
5419f6ae-62ea-ddd7-26c818e117f7,genie
eaf864b2-98a5-9c25-c080382e883f,Unity Catalog Data Explorer stopped working
0f38998a-81f8-c22c-6b2095139cfa,Job failing after DBR version changed
3cf35bbc-1561-32fb-93cdc23f258b,genie for #2205110050001559
736d811b-b810-aa0d-e23f13839963,Customer is facing a CLOUD_PROVIDER_LAUNCH_FAILURE authorization issue
c908c780-4b20-511e-460ba5a00c8e,genie
04496f17-650b-b4cf-4c5b9c3b4190,Estimating required number of memory
1e55744a-b628-766e-06c2d389ce0f,genie
14b23076-11a0-6074-5fd7a22a682b,2205110030000282 |IHS Markit| POI module not working
84e791ae-87ae-39c6-cb09e00f7a2f,Issue triggering notebook from Airflow
c2002a1a-a629-a49d-04907ebacf89,Azure Databricks Vnet Connectivity
2eb9054d-86c3-09c8-c7fb4bff5877,Data persistency issues
773ca16f-17f9-1635-f2e3eb5a087c,2204180040002686 | MyFedEx | ARR
9e00b3a7-d374-2864-75acb7ebbcd7,Writing dataframe to delta table takes long time to complete| ARR SR# 2205110030001344
21ba4dff-ce65-ee46-8d10f17939f7,genie
c77b87b8-1c08-bb12-d7721df35fb4,CREATE WIDGET fails with block comments in the same cell
d9479854-d388-1bf7-b0dca4309c5c,Creating SQL functions is broken in DBR 10.5
90a5af66-6ee6-cc2d-49a91abbfa35,unity catalog private preview feature
cb5cd46a-e5fd-39fb-235314564948,Perform cenrtain check without SPARK Actions
b908318c-a29b-10be-0948db4b458f,Genie for 2204290050001087 
d260f6a0-074b-c1f7-603ffa336646,Conda on 9.1 LTS ML Runtime
281a09b2-6bc9-b47b-c4529e0fee21,Need help why dataframe cache is not working
8f96003d-b1b7-44a8-fcb0cab07a8f,ARR | Databricks permissions issue
fd225958-948f-9f03-9de3d348c2a2,2205100050002765 Different applications have the same app_id under metrics namespace
3d4d908a-b521-ae35-a25f6ed7df3b,genie
05e48487-8dce-c456-74704ee612d5,Issue on every endpoints on engie-digital-smartom-data-pprod-ca-central-1 workspace
3a0e4ed9-8e6d-cba9-d64d388a9cbd,CSS-ARR-S500-SR#2205110050000087-Genie Access Request
95774894-77cf-c742-c04751bcd841,CSS-ARR-2205100030001515-Error when using LoginTimeout  in SQL Endpoint  JDBC url
1cdc75eb-eec3-42dd-0b5ff7ff0416,The instance of the SQL Server Database Engine cannot obtain a LOCK resource at this time
bb913b1a-726d-2377-1b33be209d3b,2205110030000282 |IHS Markit|Genie
15e7a1b9-87fd-e057-ef9acb393276,SQL query works in DBR 9.1 but fails in DBR 10.4
b4b04303-4b81-aee2-7657bad80a8f,Genie for 2205110050000419 
337e761c-190d-21db-19ebff3b05cb,[ARR] [Sev C] SR-2205080030000417-Slow performance
3839379b-1498-7706-0ea1d1b879e6,Job failed with unknown error
03ccefbf-049d-f8ad-5b1c9b886938,genie
36939724-dec6-2f25-46edadc9ed38,genie
4140a5f7-ba31-3cf0-113532c33e91,Cluster terminated.Reason:Azure Vm Extension Failure
4040ca25-317d-d13f-08a8824b5c7d,2.21E+15
a0283e63-4b3a-e229-a227cc082641,Access Control List input not working for Job API
4ccc5063-7c2c-f49c-e78e556c72fb,Not able to connect with Oracle in E2 Shard while it is working in E1
0f1f673b-7932-730d-1f704e711033,2205090030001270_Need Genie Acces
b9075757-12c3-a455-a234a57b5249,genie
94566dd9-0fab-751e-33a814bbe44c,Can't able to access /mnt/advancedanalytics mount files in HC cluster
86822368-6498-faa6-0e1f668cd34a,Can't able to install wheel files in the HC clusters
d8764eff-4a06-f684-e574a0f62ed2,CSS-ARR-2205050030001596001-Restore Databricks Workspace 
a1d7e0fc-3af6-956d-d685f02fff0e,genie-Internal server error on ADF to Databricks
8551fcba-c8c8-0a45-f72462244dc5,GKE cluster is not up on the new shared VPC
8eef311f-52c4-ae4d-676d5bb8a0c0,SQLRecoverableException: IO Error: Connection reset
eec2f5a2-c0e4-2ccf-a24fd833a2da,2205110030000282 |IHS Markit|Genie
7b1fc11b-b18c-8bc9-63bc48ccb4e6,2205060030001941_Need Genie Access
1fd300d7-6a40-91de-6ecd4021a8a0,Whitelist Power BI urls
6aac21bb-c7c4-161e-fa35d633fcc0,Databricks Cluster reports ModuleNotFoundError: No module named 'pmdarima'
c0ce5d27-f8e3-4e1b-252ae7b59866,2.21E+15
4bfd2f11-2ee7-4b78-7f5da352044f,Follow Up 00145019
6a601190-a5a9-4bcc-961203fe8f5a,genie
b9c31b47-973e-89e9-dfba8be7891f, not abale to create cluster through azure databricks
df7e263e-1b36-81fe-1159f9256cf0,"can we set ""spark.sql.mapKeyDedupPolicy"" to ""LAST_WIN"" on Databricks SQL(sql endpoint))"
8644712b-af1e-86aa-8b5d46dbaf4e,SQL query works in DBR 9.1 but fails in DBR 10.4
76cd438a-67c0-c207-e2a37ecb54e7,MLFlow Model Registry staging options
697a037f-c582-8847-738835d87edb,File read from Container is taking very long time
68e70a22-3e5e-0722-c859975acc02,Genie Postgres
33e9ea13-0312-9b62-a35305e9cf0a,genie
b5c9bda2-ff58-1b8c-672e35342a75,2.21E+15
d30de172-a59d-a40d-b0414c147a08,Follow up case: 00140430
ba5af023-8bd8-0923-e769a333159c,How to install older release of python
6aed6c0c-6d77-1bec-a2ac046cfd4d,Genie 
5a28e3b3-3463-e0f6-2d4ec52afe94,0070 - g - ARR - ATT - Streaming job failing on one of 4 pipelines
4ed9349b-f3ad-afaf-1a5efedcfe6c,Notebook commands getting cancelled
96cb6df7-239e-89f2-41e2a65a4ed5,Customer running into intermittent failures due to heartbit timed out
60f448cb-f353-07a1-0e2371e73a03,genie
c0b0bbba-a9f4-dacb-a65dd9ed73d8,Genie: H&R Block || 2203110040006344 || TestWorkspace
79b6aa0b-cb08-551c-016a503f4a56,"Bunch of ADF jobs ""Cancelled"" on single day"
0f2f5c03-7b07-876b-cabf1b35f3e7,All Workflows (Jobs) fail immediately with an error message
bbbd7d79-ddd8-29d8-7fb123399fac,MOVE dag is failing
456bfd7d-983c-635b-3988bdb35555,Dip and spike in incoming messages at 12AM UTC
99ab760b-ce4a-8e17-4cdada502785,Genie access request
cc5e0540-db6b-adc3-c06b70e88a11,Dip and spike in incoming messages at 12AM UTC
613447c1-7e06-e8cf-71e3eb6ee2d3,How to Mount Bucket with Temporary AWS Credentials
c30c88cc-61b0-b55b-2b632442c318,Genie
51011377-1810-4608-b534d221d0fd,Clusters not coming up - cannot create elastic disk cluster
0c203a38-6065-0a0c-aa93cee690fe,Java error message in the Job execution - spark jar task
a30fcf6c-ae9b-ed21-dc8b5993158b,Unable to add users to databricks cloud account
04ff3160-b96a-b535-b93fe6664243,json serde queries not working on 10.5 DBR 
c706b6be-12e9-e8b1-77f8a6c5d721,genie for #2203180030001191
9fcc055c-4618-f603-2fec9ed199ec,genie- Processos de cluster interativo travaram durante a execução (processo zumbi)
95397d31-684b-1926-78cda43b506f,Adding .jar using init script 
003f3f58-4390-7aec-d1c2d15b499a,The function does not support the DBFS FUSE mount.
1caec4c8-4177-19dc-fe5eab409e80,Genie
4577e313-ea52-048f-e9663847aa38,genie for #2203180030001191
783f44ef-aa5f-0b48-8fe540d9d053,2205 - ARR - GAP - ACL table ownership
3b405587-e5c8-c931-fc76ed2ffdea,"workspace access request, HC Cluster is running slowly"
a6c7f93e-c00b-11ba-ea94ab23ef96,2.21E+15
bd13bfdd-088b-6b3e-1ecd1c7bf5c2,Not able to create JDBC connection
a84c3085-4744-6248-561da73d4c12,"TEST RND - DisconnectedClientException, UnexpectedHttpException while running a notebook"
0911cb0e-1804-aa72-8afc0b9593d7,2754134964726624 - 81b4ec93-f52f-4194-9ad9-57e636bcd0b6 - 2205100040007765
f91e2074-8e35-b9a3-80a9cdcb8a35,Issue while accessing certain s3 bucktes from Databricks
c0ffc7b6-04ac-47d1-9d342e381dcd,genie-Azure Quota Exceeded Exception
6ae19d51-2f05-6b68-e7ec1e57a700,Clarity on additional EBS Volumes being added
50119784-fe4c-d709-3776b6620dc1,3337075389283370 - 6b64b59f-432d-401e-b552-d855f1e1d2e0 - 2204060040002674
2ca1f9f0-ea3d-77a2-b257cf40c257,Increase number of Databricks secret scopes
e0d25bf0-d3f9-72c4-a87bde85e2f5,Checkpoint data corruption incidents in 2 weeks
7a48ff6a-d275-4a60-d0bb9fc9a99e,Unable to connect ODBC Simba Spark Connector to Databricks SQL End Point
8d1ca0d6-2e0c-1997-ac294485c4fc,photon clusters giving incorrect results.
4f6b7ea3-91d5-d83d-5c6442ea5387,Metastore is Down- This error is appearing intermittently and during this time Externalk Hivemetastore is not available
484400a3-427c-a1d5-9de2d3bca501,we need assistance with databricks scim/sso implementation on azure
ad5817b8-d704-b72e-fca08133716a,Box plot not computed on all data
162be38c-2373-4158-e23aa99076d7,VACUUM delta table take a long time
2a2f62ac-2177-ca25-9dbe792da771,Genie - 2205020040005904
f7988506-38be-6c82-f36d6ea0780c,5259743963611861 - 33083e0c-20e5-40c8-a77d-557528d9e387 - 2205100010002951
bd6ab817-3347-1aa5-c62f01e7f806,Search all queries by created by or owner name
191966d0-d4c1-8996-2d1c9665a572,ARR:2204210040012046 Streaming jobAutoscaling issue
61bcaeef-8570-de62-32b69e850c8c,Query stuck in running state
278fca35-083b-b97e-27b8b1e42150,PAT throwing 403 errors with databricks apis
50d06918-b6d6-8be6-092d917ba03f,Genie - 2205100010001009 
35cb6d14-8fe9-0561-c5ab4a6c9020,URGENT - Cluster Failing To Launch
12b7ddef-9a2e-0064-b75c458ec310,genie-This amount may not have enough CPU cores - cannot create Virtual machines for Standard_E80ids_v4.
7f9fe022-1276-ad82-b260faa4b64a,ARR Customer Rogers INC: Unable to Deploy Clusters 
91cfb3f8-260b-8dd2-3839c5ebe61f,Need to create additional workspace on different AWS account.
501e2cfa-83c0-f03a-c07d58033be8,Enable dbutils.secrets.get for customer.
8a379a13-6b99-9c4f-940422d14479,"ARR Customer Safeway: Databricks Workspace is intermittently inaccessible. This affects them logging into the workspace and attempting to start their notebooks. The Main screen loads, but selecting a query fails to bring up that query. "
bc3cce2a-2164-24ba-de9181bbb5cf,No Public Internet access on cluster nodes
31b280d2-acec-470a-0e687856ad08,"ARR Customer Safeway: Issue - Th customer has an issue where the Databricks Workspace is intermittently inaccessible. This affects them logging into the workspace and attempting to start their notebooks. The Main screen loads, but selecting a query fails "
b2dc31ed-3b19-0fb0-a5937bae75b8,genie
2a1b2f2f-09cb-2789-ed8b824401f8,photon clusters giving incorrect results.
114ee78e-3ae8-affa-32136e42906c,ARR | Genie | The 'R' package 'prophet' fails to load | 2205090040005472 
1445321e-e337-f4cf-2a5063c5f7cb, 2205100050002029 - Genie
37c60bbd-1969-e7d5-e9b7060e9758,Log out databricks.webapp functionality for the shard.yaml file
feaadf40-f8a6-da6d-80bd4cf57893,"Spark job is taking more than expected time to run in new clusters AZ-2 and AZ-3, while working as expected in old cluster AZ-1."
be72c949-36fc-46a7-420199be34a3,Intermittent issue with custom library
ddb1ffa9-7369-1598-b3a7a5fe62a0,Feature Store: training set load joining failure
5d63498c-05ea-edac-a9c34c288e70,follow-up for SF # 00143824
efa49fb7-976b-ee0c-00836d5de261,coalesce causing file already exists error when running a large dataset  
bf1e0861-e12e-11bf-f9bb1acf7fa1,ClassNotFoundException: org.apache.hadoop.fs.s3a.commit.S3ACommitterFactory on 10.4 LTS runtime
910b44a7-ac3d-ff21-6b9c07247212,"Some users with ""Can Manage"" access have lost the ability to clone folders/notebooks"
7d28da19-69b3-7f6b-f24eaa7fb52a,ARR | exception when doing a vacuum| 2204290050000799
025b62c9-3012-c4e7-5aa752a3c800,Unable to install package GaitPy
0688013a-3c89-a996-5b757f93f02a,Genie - 2205100040004746
0d733f20-850c-db18-2019689ab0d7,2.21E+18
8ff01f63-ad4f-9f7a-3da279101ef2,2205100040000587 | Contributor role
52d3a558-edcf-ac73-89ef09504186,Unable to create a workspace through the Admin Console UI
121f48b1-3e50-1a54-3be83b0f75ec,ARR - follow-up to 00142942
92cf45b9-a273-f9d1-d04fcce2db19,SparkException - Job Aborted due to stage failure
8fcb2fea-e25b-3e7c-3fe7aabf82ee,Genie 2203240050000815 
8f121b0d-b083-1510-9cb76123abbe,Quota request for Other Requests - Unable to start the cluster
5f948d27-c6e7-3451-ecadc43e946e,Performance improvement on newer DBRs
62f22560-d4c2-f92a-76803898e9f7,2205060010001677 | Delete tables
38452e9d-ed27-a602-35bfabcb2404,"Query Watchdog ""dry run"" mode"
baae8be7-1e96-d6bd-79277d96c779,keplergl library not working on databricks' notebooks
9b7d29d8-8031-a0e5-e00564b800d7,How to grant access to default catalog to all workspace users
29bfbf86-4cfa-83aa-0e251755550b,How to compute box plots charts on all rows 
44446600-48b5-36ee-67031b96c509,Driver is up but is not responsive errors in high concurrency clusters
a451c250-ecf2-7e8e-337a0d3eb248,2.21E+15
db34ef23-1ef3-3667-0a1e6895359e,genie
07fb236f-4205-ee9a-f72dc86eff7b,2112100050001306 genie
b8c5958d-70e2-ce88-b60ebe680ef0,Genie Access | ARR SR#  2205060030001100
9c4e14ce-9ffa-3db7-bffc9cc957e9,CSS-ARR-S500-SR#2204300030000321-Databricks Job are slow.
82875f54-3e7b-73d5-3b037b272aff,Facing issue while connecting Databricks and Azure SQL DB using Service Principal as authentication mode as token got expired after 1 hr
6ddcbaf8-17c5-5366-f9b481afd7ae,GAR for 660888044813307
28e5147c-f0b5-01f9-80038b112149,Could not find ADLS Gen2 Token
5a41656f-6a45-0d32-f5c6cacb7067,Establishing FSX Connectivity from Databricks
9d2fe3a5-142a-8367-034a7fb105f7,testing case for email notification. Ignore. Assign it to Smijith if found unassigned
08175c0c-51fa-1196-d8b70468d6d4,2.21E+15
372fe108-a78b-df77-13d0283d786e,testing case for email thread merg
b0afba39-56f1-0eca-dfd5e0dd2340,Looking to understand if databricks supports watch for s3 path
b5184c0e-0649-1acd-8d83828ff104,genie
0f58a559-74da-f83b-3f2169566186,Genie Access
7b3486ad-b0a0-0250-2ffe41970667,Incomplete Contacts in Help Center
fb8f798a-013d-0de5-61572ac1d0fc, Unable to import named 'azure.storage' and 'azure.identity'
d74b0370-4a85-5be4-4d8be5761f5c,genie 2205080030000417
84fc2005-08a7-f8ed-90a2c192aba0,Trying to get the size of folders in dbfs
6bb47666-a160-e605-ad6757df5680,"Change data feed does not work correctly for ""replaceWhere"" operation when replaceWhere predicate is on non partitioning column"
6f984f80-e320-9cd8-9302681584cd,Trying to get the size of folders in dbfs
c1aa205a-ced5-2dbf-23e2c5102f37,Cannot create and start cluster in Azure Databricks
